2026-07-16 10:54:09,341 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/61
2026-07-16 10:54:09,341 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/62
2026-07-16 10:54:09,342 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/63
2026-07-16 10:54:09,342 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/64
2026-07-16 10:54:09,342 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/65
2026-07-16 10:54:09,343 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/66
2026-07-16 10:54:09,343 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/67
2026-07-16 10:54:09,343 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/68
2026-07-16 10:54:09,344 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/69
2026-07-16 10:54:09,344 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/70
2026-07-16 10:54:09,344 - root - INFO - scraping https://ssr1.scrape.center/page/8
2026-07-16 10:54:10,638 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/71
2026-07-16 10:54:10,638 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/72
2026-07-16 10:54:10,638 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/73
2026-07-16 10:54:10,639 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/74
2026-07-16 10:54:10,639 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/75
2026-07-16 10:54:10,639 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/76
2026-07-16 10:54:10,640 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/77
2026-07-16 10:54:10,640 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/78
2026-07-16 10:54:10,640 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/79
2026-07-16 10:54:10,641 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/80
2026-07-16 10:54:10,641 - root - INFO - scraping https://ssr1.scrape.center/page/9
2026-07-16 10:54:11,973 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/81
2026-07-16 10:54:11,973 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/82
2026-07-16 10:54:11,974 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/83
2026-07-16 10:54:11,974 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/84
2026-07-16 10:54:11,974 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/85
2026-07-16 10:54:11,974 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/86
2026-07-16 10:54:11,975 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/87
2026-07-16 10:54:11,975 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/88
2026-07-16 10:54:11,975 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/89
2026-07-16 10:54:11,975 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/90
2026-07-16 10:54:11,976 - root - INFO - scraping https://ssr1.scrape.center/page/10
2026-07-16 10:54:13,362 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/91
2026-07-16 10:54:13,363 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/92
2026-07-16 10:54:13,363 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/93
2026-07-16 10:54:13,364 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/94
2026-07-16 10:54:13,364 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/95
2026-07-16 10:54:13,364 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/96
2026-07-16 10:54:13,365 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/97
2026-07-16 10:54:13,365 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/98
2026-07-16 10:54:13,365 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/99
2026-07-16 10:54:13,366 - root - INFO - already crawled, skip: https://ssr1.scrape.center/detail/100
2026-07-16 10:54:13,366 - root - INFO - detail url count: 0
